///Excample Record Page Alhikmah.my.id ///

﻿"Page","Impressions","Clicks","CTR","Avg. Position"
"https://www.alhikmah.my.id/2021/09/kitab-kuning.html","1155","63","5.45%","8.46838952380953"
"https://www.alhikmah.my.id/?m=1","379","0","0%","5.89973984168866"
"https://www.alhikmah.my.id/","283","29","10.25%","3.63956819787986"
"https://www.alhikmah.my.id/2020/10/kartanu-kartu-tanda-anggota-nahdlatul.html","205","18","8.78%","5.97072585365854"
"https://www.alhikmah.my.id/2020/10/kumpulan-kitab-kitab-fiqh-mazhab-syafii.html","142","8","5.63%","5.11972957746479"
"https://www.alhikmah.my.id/2020/11/tutorial-membuat-sitemap-seo-di-blogspot.html","97","1","1.03%","10.1237072164948"
"https://www.alhikmah.my.id/p/login_25.html","76","6","7.89%","2.77631447368421"
"https://www.alhikmah.my.id/2020/08/artikel-cepat-terindex-google.html","58","0","0%","13.5862017241379"
"https://www.alhikmah.my.id/2020/10/teks-resolusi-jihad-nu-yang-disiarkan.html","49","5","10.2%","6.55102857142857"
"https://www.alhikmah.my.id/2021/09/download-kitab.html","42","6","14.29%","5.02383095238095"
"https://www.alhikmah.my.id/2020/11/terjemah-kitab-imrithi.html","34","4","11.76%","10.9411764705882"
"https://www.alhikmah.my.id/2021/10/sholawat.html","28","2","7.14%","4.74999642857143"
"https://www.alhikmah.my.id/2020/09/download-terjemah-kitab-kuning.html?m=1","21","3","14.29%","9.80952380952381"
"https://www.alhikmah.my.id/2021/09/3d.html","21","2","9.52%","4.47618571428571"
"https://www.alhikmah.my.id/2020/10/panduan-membuat-daftar-isi-sederhana.html","19","1","5.26%","11.3157947368421"
"https://www.alhikmah.my.id/2020/10/cara-mendapatkan-domain-myid-secara-100.html","15","0","0%","9.4"
"https://www.alhikmah.my.id/2020/10/blog-post.html","14","2","14.29%","5.21427142857143"
"https://www.alhikmah.my.id/2020/10/panduan-membuat-daftar-isi-sederhana.html?m=1","13","0","0%","12.0769307692308"
"https://www.alhikmah.my.id/2021/10/e-books.html","13","0","0%","20"
"https://www.alhikmah.my.id/2020/10/sejarah-wali-songo.html","11","0","0%","5.81818181818182"
"https://www.alhikmah.my.id/2021/10/asmaul-husna.html?hl=ar","9","0","0%","15"
"https://www.alhikmah.my.id/2021/05/cara-membuat-dan-mempublikasikan-cbox.html","8","0","0%","26.75"
"https://www.alhikmah.my.id/2021/08/optimasi.html","8","5","62.5%","13.1250125"
"https://www.alhikmah.my.id/search/label/NU%20DAN%20BANOMNYA","8","1","12.5%","8.5"
"https://www.alhikmah.my.id/2020/10/membuat-tulisan-menarik-dengan-text.html","8","2","25%","2.2499875"
"https://www.alhikmah.my.id/2020/08/blog-post_4.html?m=1","7","2","28.57%","6.14285714285714"
"https://www.alhikmah.my.id/2020/08/tasawuf.html","7","1","14.29%","2.1429"
"https://www.alhikmah.my.id/2020/09/desain-inspirasi-rumah.html","7","0","0%","9.28571428571429"
"https://www.alhikmah.my.id/2021/01/adabul-alim-wal-mutaalim-bab-5-akhlak.html","6","1","16.67%","1.83333333333333"
"https://www.alhikmah.my.id/2020/08/daftar-link-perlombaan.html","6","0","0%","9.16666666666667"
"https://www.alhikmah.my.id/p/al-hikmah-center.html","5","0","0%","4.2"
"https://www.alhikmah.my.id/p/daftar-campaign-affiliasi-website-kami.html","5","0","0%","5.59998"
"https://www.alhikmah.my.id/2020/10/cara-memasang-iklan-otomatis-google.html","4","0","0%","5"
"https://www.alhikmah.my.id/2021/11/kisah-hikmah_29.html","4","0","0%","19.75"
"https://www.alhikmah.my.id/2020/08/santri.html","4","4","100%","1"
"https://www.alhikmah.my.id/p/license.html","4","0","0%","5.5"
"https://www.alhikmah.my.id/2021/09/gif.html","4","2","50%","5.5"
"https://www.alhikmah.my.id/2020/10/mau-ngaji-kitab-kuning-berikut-alamat.html","3","2","66.67%","3.33333333333333"
"https://www.alhikmah.my.id/2020/10/jenis-file-yang-dapat-diindeks-oleh.html","3","1","33.33%","9.6667"
"https://www.alhikmah.my.id/2020/09/kitab-talim-mutaalim-dan-terjemahan.html?m=1","3","0","0%","7"
"https://www.alhikmah.my.id/2020/12/program-referral.html","3","0","0%","8.6667"
"https://www.alhikmah.my.id/2020/07/kata-kata-hikmah-ala-santri-indonesia.html","3","1","33.33%","3"
"https://www.alhikmah.my.id/2020/09/al-hikmah-dalam-al-quran.html","3","0","0%","4.66666666666667"
"https://www.alhikmah.my.id/search/label/INSPIRATIF","2","1","50%","2.5"
